departure_time,arrival_time,edge,origin,dest,predicted_time,actual_time,congestion_ratio,is_congested
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,3->7,3,7,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,2->7,2,7,5,4,0.8,False
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,3->7,3,7,4,5,1.25,True
0,5,5->0,5,0,4,5,1.25,True
0,5,5->0,5,0,4,5,1.25,True
0,5,2->7,2,7,5,5,1.0,False
0,5,2->7,2,7,5,5,1.0,False
0,5,2->7,2,7,5,5,1.0,False
0,5,2->7,2,7,5,5,1.0,False
1,5,3->7,3,7,4,4,1.0,False
1,5,3->7,3,7,4,4,1.0,False
1,5,3->7,3,7,4,4,1.0,False
1,5,3->7,3,7,4,4,1.0,False
1,5,3->7,3,7,4,4,1.0,False
1,5,5->0,5,0,4,4,1.0,False
1,5,5->0,5,0,4,4,1.0,False
1,5,5->0,5,0,4,4,1.0,False
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,3->7,3,7,4,6,1.5,True
0,6,5->0,5,0,4,6,1.5,True
0,6,2->7,2,7,5,6,1.2,False
1,6,3->7,3,7,4,5,1.25,True
1,6,3->7,3,7,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
0,7,3->7,3,7,4,7,1.75,True
0,7,3->7,3,7,4,7,1.75,True
0,7,5->0,5,0,4,7,1.75,True
0,7,5->0,5,0,4,7,1.75,True
0,7,5->0,5,0,4,7,1.75,True
0,7,5->0,5,0,4,7,1.75,True
0,7,2->7,2,7,5,7,1.4,True
0,7,2->7,2,7,5,7,1.4,True
0,7,2->7,2,7,5,7,1.4,True
0,7,2->7,2,7,5,7,1.4,True
0,7,2->7,2,7,5,7,1.4,True
0,7,2->7,2,7,5,7,1.4,True
0,8,3->7,3,7,4,8,2.0,True
0,8,3->7,3,7,4,8,2.0,True
0,8,5->0,5,0,4,8,2.0,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
0,8,2->7,2,7,5,8,1.6,True
1,8,5->0,5,0,4,7,1.75,True
1,8,5->0,5,0,4,7,1.75,True
1,8,5->0,5,0,4,7,1.75,True
